seed,stage_name,feature_dim,u_b_per_slice,effective_rank
42,input_concat,22,0.7268379926681519,15.99043583869934
42,proj_out,384,0.04266170412302017,16.382094383239746
42,mlp_pre_silu,384,0.04113505780696869,15.795862197875977
42,mlp_post_silu,384,0.043478745967149734,16.695838451385498
42,mlp_out,384,0.03240698203444481,12.444281101226807
42,h_after_residual,384,0.042614907026290894,16.364124298095703
42,skip_out,384,0.042765311896800995,16.421879768371582
42,pre_norm,384,0.042526647448539734,16.330232620239258
42,encoder_out,384,0.0425165630877018,16.32636022567749
43,input_concat,22,0.7265406250953674,15.983893752098083
43,proj_out,384,0.04248623922467232,16.31471586227417
43,mlp_pre_silu,384,0.040819425135850906,15.674659252166748
43,mlp_post_silu,384,0.04266136512160301,16.381964206695557
43,mlp_out,384,0.032955244183540344,12.654813766479492
43,h_after_residual,384,0.04238731786608696,16.276730060577393
43,skip_out,384,0.04272012785077095,16.404529094696045
43,pre_norm,384,0.04261581972241402,16.364474773406982
43,encoder_out,384,0.04261505603790283,16.364181518554688
44,input_concat,22,0.7268673777580261,15.991082310676575
44,proj_out,384,0.042629729956388474,16.369816303253174
44,mlp_pre_silu,384,0.04096071049571037,15.728912830352783
44,mlp_post_silu,384,0.043217986822128296,16.595706939697266
44,mlp_out,384,0.035158395767211914,13.500823974609375
44,h_after_residual,384,0.04269476607441902,16.394790172576904
44,skip_out,384,0.043078307062387466,16.542069911956787
44,pre_norm,384,0.042688336223363876,16.39232110977173
44,encoder_out,384,0.04268038272857666,16.389266967773438
